Datetime,EXPE
2017-11-06 14:30:00,122.69999694824219
2017-11-06 15:30:00,123.20999908447266
2017-11-06 16:30:00,122.68000030517578
2017-11-06 17:30:00,122.61000061035156
2017-11-06 18:30:00,122.77999877929688
2017-11-06 19:30:00,122.69999694824219
2017-11-06 20:30:00,123.0
2017-11-07 14:30:00,120.58999633789062
2017-11-07 15:30:00,120.79000091552734
2017-11-07 16:30:00,120.44999694824219
2017-11-07 17:30:00,120.91000366210938
2017-11-07 18:30:00,120.61000061035156
2017-11-07 19:30:00,119.98999786376953
2017-11-07 20:30:00,119.5999984741211
2017-11-08 14:30:00,118.05999755859375
2017-11-08 15:30:00,118.08280181884766
2017-11-08 16:30:00,118.11000061035156
2017-11-08 17:30:00,118.40010070800781
2017-11-08 18:30:00,118.58000183105469
2017-11-08 19:30:00,118.37999725341797
2017-11-08 20:30:00,118.55999755859375
2017-11-09 14:30:00,117.37000274658203
2017-11-09 15:30:00,117.43000030517578
2017-11-09 16:30:00,116.55999755859375
2017-11-09 17:30:00,117.08999633789062
2017-11-09 18:30:00,117.37000274658203
2017-11-09 19:30:00,117.41000366210938
2017-11-09 20:30:00,117.30000305175781
2017-11-10 14:30:00,117.11000061035156
2017-11-10 15:30:00,118.2750015258789
2017-11-10 16:30:00,120.2699966430664
2017-11-10 17:30:00,119.49810028076172
2017-11-10 18:30:00,120.80999755859375
2017-11-10 19:30:00,120.47000122070312
2017-11-10 20:30:00,120.72000122070312
2017-11-13 14:30:00,120.16999816894531
2017-11-13 15:30:00,120.66999816894531
2017-11-13 16:30:00,120.4800033569336
2017-11-13 17:30:00,120.22000122070312
2017-11-13 18:30:00,119.79000091552734
2017-11-13 19:30:00,120.12999725341797
2017-11-13 20:30:00,120.29010009765625
2017-11-14 14:30:00,120.94999694824219
2017-11-14 15:30:00,120.87000274658203
2017-11-14 16:30:00,121.08000183105469
2017-11-14 17:30:00,121.44499969482422
2017-11-14 18:30:00,122.31500244140625
2017-11-14 19:30:00,122.43000030517578
2017-11-14 20:30:00,122.11000061035156
2017-11-15 14:30:00,120.88999938964844
2017-11-15 15:30:00,120.98999786376953
2017-11-15 16:30:00,120.55999755859375
2017-11-15 17:30:00,120.83499908447266
2017-11-15 18:30:00,121.375
2017-11-15 19:30:00,120.8499984741211
2017-11-15 20:30:00,121.16000366210938
2017-11-16 14:30:00,121.51499938964844
2017-11-16 15:30:00,121.81999969482422
2017-11-16 16:30:00,122.22000122070312
2017-11-16 17:30:00,122.30699920654297
2017-11-16 18:30:00,122.0999984741211
2017-11-16 19:30:00,122.54000091552734
2017-11-16 20:30:00,121.98999786376953
2017-11-17 14:30:00,123.05000305175781
2017-11-17 15:30:00,123.8499984741211
2017-11-17 16:30:00,124.06999969482422
2017-11-17 17:30:00,123.20999908447266
2017-11-17 18:30:00,123.37999725341797
2017-11-17 19:30:00,123.77999877929688
2017-11-17 20:30:00,123.95999908447266
2017-11-20 14:30:00,124.2300033569336
2017-11-20 15:30:00,124.29000091552734
2017-11-20 16:30:00,122.83000183105469
2017-11-20 17:30:00,122.77999877929688
2017-11-20 18:30:00,122.32099914550781
2017-11-20 19:30:00,123.2750015258789
2017-11-20 20:30:00,123.5
2017-11-21 14:30:00,123.80999755859375
2017-11-21 15:30:00,124.69999694824219
2017-11-21 16:30:00,124.87999725341797
2017-11-21 17:30:00,124.93000030517578
2017-11-21 18:30:00,125.18000030517578
2017-11-21 19:30:00,125.05999755859375
2017-11-21 20:30:00,124.9000015258789
2017-11-22 14:30:00,125.41999816894531
2017-11-22 15:30:00,126.83000183105469
2017-11-22 16:30:00,127.33000183105469
2017-11-22 17:30:00,127.20999908447266
2017-11-22 18:30:00,127.22000122070312
2017-11-22 19:30:00,127.16999816894531
2017-11-22 20:30:00,127.01000213623047
2017-11-24 14:30:00,126.68000030517578
2017-11-24 15:30:00,127.20999908447266
2017-11-24 16:30:00,127.02110290527344
2017-11-24 18:00:00,126.80999755859375
2017-11-27 14:30:00,128.3800048828125
2017-11-27 15:30:00,127.4749984741211
2017-11-27 16:30:00,127.22049713134766
2017-11-27 17:30:00,127.41999816894531
2017-11-27 18:30:00,127.19999694824219
2017-11-27 19:30:00,126.97000122070312
2017-11-27 20:30:00,126.72000122070312
2017-11-28 14:30:00,125.68000030517578
2017-11-28 15:30:00,126.33999633789062
2017-11-28 16:30:00,125.95999908447266
2017-11-28 17:30:00,125.11000061035156
2017-11-28 18:30:00,125.3499984741211
2017-11-28 19:30:00,125.2699966430664
2017-11-28 20:30:00,125.68000030517578
2017-11-29 14:30:00,121.79499816894531
2017-11-29 15:30:00,122.37000274658203
2017-11-29 16:30:00,122.45999908447266
2017-11-29 17:30:00,123.12000274658203
2017-11-29 18:30:00,122.51000213623047
2017-11-29 19:30:00,121.77899932861328
2017-11-29 20:30:00,122.0199966430664
2017-11-30 14:30:00,122.13999938964844
2017-11-30 15:30:00,122.16000366210938
2017-11-30 16:30:00,123.0
2017-11-30 17:30:00,122.62999725341797
2017-11-30 18:30:00,122.5
2017-11-30 19:30:00,122.30999755859375
2017-11-30 20:30:00,122.45999908447266
2017-12-01 14:30:00,123.08519744873047
2017-12-01 15:30:00,121.4800033569336
2017-12-01 16:30:00,122.22000122070312
2017-12-01 17:30:00,122.25
2017-12-01 18:30:00,122.58000183105469
2017-12-01 19:30:00,122.22000122070312
2017-12-01 20:30:00,122.70999908447266
2017-12-04 14:30:00,123.69000244140625
2017-12-04 15:30:00,123.69499969482422
2017-12-04 16:30:00,123.41999816894531
2017-12-04 17:30:00,123.55999755859375
2017-12-04 18:30:00,123.30999755859375
2017-12-04 19:30:00,122.9800033569336
2017-12-04 20:30:00,122.29000091552734
2017-12-05 14:30:00,121.76000213623047
2017-12-05 15:30:00,121.5
2017-12-05 16:30:00,120.66500091552734
2017-12-05 17:30:00,121.41000366210938
2017-12-05 18:30:00,120.95999908447266
2017-12-05 19:30:00,120.66999816894531
2017-12-05 20:30:00,120.7699966430664
2017-12-06 14:30:00,119.81999969482422
2017-12-06 15:30:00,119.14749908447266
2017-12-06 16:30:00,119.23999786376953
2017-12-06 17:30:00,119.0
2017-12-06 18:30:00,119.4000015258789
2017-12-06 19:30:00,119.15579986572266
2017-12-06 20:30:00,119.16999816894531
2017-12-07 14:30:00,118.22000122070312
2017-12-07 15:30:00,118.30000305175781
2017-12-07 16:30:00,118.83000183105469
2017-12-07 17:30:00,118.77999877929688
2017-12-07 18:30:00,118.4800033569336
2017-12-07 19:30:00,119.16000366210938
2017-12-07 20:30:00,119.16999816894531
2017-12-08 14:30:00,118.86479949951172
2017-12-08 15:30:00,118.7300033569336
2017-12-08 16:30:00,118.30000305175781
2017-12-08 17:30:00,118.11000061035156
2017-12-08 18:30:00,117.93000030517578
2017-12-08 19:30:00,117.58999633789062
2017-12-08 20:30:00,117.48999786376953
2017-12-11 14:30:00,118.88999938964844
2017-12-11 15:30:00,118.26000213623047
2017-12-11 16:30:00,118.0
2017-12-11 17:30:00,117.62000274658203
2017-12-11 18:30:00,117.79000091552734
2017-12-11 19:30:00,118.04000091552734
2017-12-11 20:30:00,117.86000061035156
2017-12-12 14:30:00,118.01000213623047
2017-12-12 15:30:00,118.31999969482422
2017-12-12 16:30:00,118.25
2017-12-12 17:30:00,118.66000366210938
2017-12-12 18:30:00,118.61000061035156
2017-12-12 19:30:00,118.49500274658203
2017-12-12 20:30:00,118.68000030517578
2017-12-13 14:30:00,118.55000305175781
2017-12-13 15:30:00,118.86000061035156
2017-12-13 16:30:00,118.75
2017-12-13 17:30:00,118.80000305175781
2017-12-13 18:30:00,118.87999725341797
2017-12-13 19:30:00,118.70999908447266
2017-12-13 20:30:00,118.54000091552734
2017-12-14 14:30:00,119.04000091552734
2017-12-14 15:30:00,119.37000274658203
2017-12-14 16:30:00,119.38999938964844
2017-12-14 17:30:00,120.01000213623047
2017-12-14 18:30:00,119.91999816894531
2017-12-14 19:30:00,120.55000305175781
2017-12-14 20:30:00,119.9000015258789
2017-12-15 14:30:00,120.27999877929688
2017-12-15 15:30:00,120.66000366210938
2017-12-15 16:30:00,120.5
2017-12-15 17:30:00,120.6500015258789
2017-12-15 18:30:00,121.13999938964844
2017-12-15 19:30:00,121.06999969482422
2017-12-15 20:30:00,120.91000366210938
2017-12-18 14:30:00,122.47000122070312
2017-12-18 15:30:00,122.4437026977539
2017-12-18 16:30:00,122.48280334472656
2017-12-18 17:30:00,122.47000122070312
2017-12-18 18:30:00,122.62010192871094
2017-12-18 19:30:00,122.33000183105469
2017-12-18 20:30:00,121.95999908447266
2017-12-19 14:30:00,121.58999633789062
2017-12-19 15:30:00,122.69000244140625
2017-12-19 16:30:00,122.75
2017-12-19 17:30:00,122.37999725341797
2017-12-19 18:30:00,122.29000091552734
2017-12-19 19:30:00,121.55999755859375
2017-12-19 20:30:00,121.45999908447266
2017-12-20 14:30:00,120.36000061035156
2017-12-20 15:30:00,120.62000274658203
2017-12-20 16:30:00,120.33000183105469
2017-12-20 17:30:00,120.42620086669922
2017-12-20 18:30:00,120.13999938964844
2017-12-20 19:30:00,120.13999938964844
2017-12-20 20:30:00,120.02999877929688
2017-12-21 14:30:00,120.33000183105469
2017-12-21 15:30:00,120.44999694824219
2017-12-21 16:30:00,121.54499816894531
2017-12-21 17:30:00,121.02999877929688
2017-12-21 18:30:00,120.7300033569336
2017-12-21 19:30:00,120.41000366210938
2017-12-21 20:30:00,120.02999877929688
2017-12-22 14:30:00,120.23999786376953
2017-12-22 15:30:00,121.30999755859375
2017-12-22 16:30:00,121.2699966430664
2017-12-22 17:30:00,120.87000274658203
2017-12-22 18:30:00,120.9000015258789
2017-12-22 19:30:00,120.5
2017-12-22 20:30:00,120.13999938964844
2017-12-26 14:30:00,120.07579803466797
2017-12-26 15:30:00,119.79000091552734
2017-12-26 16:30:00,119.65499877929688
2017-12-26 17:30:00,119.59500122070312
2017-12-26 18:30:00,119.36000061035156
2017-12-26 19:30:00,119.27999877929688
2017-12-26 20:30:00,119.44999694824219
2017-12-27 14:30:00,120.56999969482422
2017-12-27 15:30:00,120.28479766845703
2017-12-27 16:30:00,120.36000061035156
2017-12-27 17:30:00,119.91999816894531
2017-12-27 18:30:00,120.23999786376953
2017-12-27 19:30:00,120.16999816894531
2017-12-27 20:30:00,120.33000183105469
2017-12-28 14:30:00,120.56999969482422
2017-12-28 15:30:00,121.05000305175781
2017-12-28 16:30:00,121.24500274658203
2017-12-28 17:30:00,121.16000366210938
2017-12-28 18:30:00,121.01000213623047
2017-12-28 19:30:00,121.29000091552734
2017-12-28 20:30:00,121.23999786376953
2017-12-29 14:30:00,120.31999969482422
2017-12-29 15:30:00,120.1500015258789
2017-12-29 16:30:00,119.75
2017-12-29 17:30:00,119.44000244140625
2017-12-29 18:30:00,119.61000061035156
2017-12-29 19:30:00,119.83999633789062
2017-12-29 20:30:00,119.7699966430664
2018-01-02 14:30:00,122.4000015258789
2018-01-02 15:30:00,121.93499755859375
2018-01-02 16:30:00,121.2699966430664
2018-01-02 17:30:00,121.12000274658203
2018-01-02 18:30:00,121.31999969482422
2018-01-02 19:30:00,121.55999755859375
2018-01-02 20:30:00,121.43000030517578
2018-01-03 14:30:00,127.4000015258789
2018-01-03 15:30:00,126.2699966430664
2018-01-03 16:30:00,125.53500366210938
2018-01-03 17:30:00,125.6500015258789
2018-01-03 18:30:00,125.48999786376953
2018-01-03 19:30:00,125.91999816894531
2018-01-03 20:30:00,125.16000366210938
2018-01-04 14:30:00,125.19999694824219
2018-01-04 15:30:00,124.875
2018-01-04 16:30:00,124.43000030517578
2018-01-04 17:30:00,124.3499984741211
2018-01-04 18:30:00,125.4800033569336
2018-01-04 19:30:00,126.12999725341797
2018-01-04 20:30:00,126.18000030517578
2018-01-05 14:30:00,125.99690246582031
2018-01-05 15:30:00,126.05000305175781
2018-01-05 16:30:00,126.44999694824219
2018-01-05 17:30:00,126.38500213623047
2018-01-05 18:30:00,126.9800033569336
2018-01-05 19:30:00,127.20999908447266
2018-01-05 20:30:00,127.0999984741211
2018-01-08 14:30:00,126.83999633789062
2018-01-08 15:30:00,126.36000061035156
2018-01-08 16:30:00,126.4800033569336
2018-01-08 17:30:00,126.98999786376953
2018-01-08 18:30:00,127.51499938964844
2018-01-08 19:30:00,127.80000305175781
2018-01-08 20:30:00,128.1699981689453
2018-01-09 14:30:00,127.6050033569336
2018-01-09 15:30:00,127.87000274658203
2018-01-09 16:30:00,127.45899963378906
2018-01-09 17:30:00,127.66000366210938
2018-01-09 18:30:00,127.87409973144531
2018-01-09 19:30:00,127.45999908447266
2018-01-09 20:30:00,127.29000091552734
2018-01-10 14:30:00,127.70500183105469
2018-01-10 15:30:00,126.95999908447266
2018-01-10 16:30:00,127.5999984741211
2018-01-10 17:30:00,127.25
2018-01-10 18:30:00,126.5999984741211
2018-01-10 19:30:00,127.08999633789062
2018-01-10 20:30:00,127.18000030517578
2018-01-11 14:30:00,128.6300048828125
2018-01-11 15:30:00,129.5500030517578
2018-01-11 16:30:00,130.27999877929688
2018-01-11 17:30:00,130.46499633789062
2018-01-11 18:30:00,130.5399932861328
2018-01-11 19:30:00,130.26499938964844
2018-01-11 20:30:00,129.4199981689453
2018-01-12 14:30:00,129.0
2018-01-12 15:30:00,130.25999450683594
2018-01-12 16:30:00,130.82000732421875
2018-01-12 17:30:00,131.27000427246094
2018-01-12 18:30:00,132.1699981689453
2018-01-12 19:30:00,132.41000366210938
2018-01-12 20:30:00,132.35000610351562
2018-01-16 14:30:00,133.33999633789062
2018-01-16 15:30:00,132.7050018310547
2018-01-16 16:30:00,132.25
2018-01-16 17:30:00,131.94000244140625
2018-01-16 18:30:00,130.44000244140625
2018-01-16 19:30:00,131.05999755859375
2018-01-16 20:30:00,130.58999633789062
2018-01-17 14:30:00,129.8000030517578
2018-01-17 15:30:00,129.74000549316406
2018-01-17 16:30:00,129.8000030517578
2018-01-17 17:30:00,129.9199981689453
2018-01-17 18:30:00,130.75
2018-01-17 19:30:00,130.4550018310547
2018-01-17 20:30:00,130.6199951171875
2018-01-18 14:30:00,128.0500030517578
2018-01-18 15:30:00,127.58999633789062
2018-01-18 16:30:00,128.6199951171875
2018-01-18 17:30:00,127.375
2018-01-18 18:30:00,127.44000244140625
2018-01-18 19:30:00,127.20999908447266
2018-01-18 20:30:00,126.83999633789062
2018-01-19 14:30:00,125.16000366210938
2018-01-19 15:30:00,125.23999786376953
2018-01-19 16:30:00,125.54000091552734
2018-01-19 17:30:00,125.3499984741211
2018-01-19 18:30:00,125.81919860839844
2018-01-19 19:30:00,125.7699966430664
2018-01-19 20:30:00,126.26000213623047
2018-01-22 14:30:00,126.66999816894531
2018-01-22 15:30:00,127.3499984741211
2018-01-22 16:30:00,127.91000366210938
2018-01-22 17:30:00,128.10000610351562
2018-01-22 18:30:00,127.63999938964844
2018-01-22 19:30:00,128.02999877929688
2018-01-22 20:30:00,128.14999389648438
2018-01-23 14:30:00,128.16000366210938
2018-01-23 15:30:00,128.14500427246094
2018-01-23 16:30:00,127.83999633789062
2018-01-23 17:30:00,128.5399932861328
2018-01-23 18:30:00,128.72999572753906
2018-01-23 19:30:00,128.77000427246094
2018-01-23 20:30:00,128.9499969482422
2018-01-24 14:30:00,131.34500122070312
2018-01-24 15:30:00,131.14999389648438
2018-01-24 16:30:00,129.75999450683594
2018-01-24 17:30:00,130.05999755859375
2018-01-24 18:30:00,130.63999938964844
2018-01-24 19:30:00,130.77000427246094
2018-01-24 20:30:00,130.47999572753906
2018-01-25 14:30:00,131.2899932861328
2018-01-25 15:30:00,131.55999755859375
2018-01-25 16:30:00,131.49000549316406
2018-01-25 17:30:00,131.3115997314453
2018-01-25 18:30:00,130.91000366210938
2018-01-25 19:30:00,130.9199981689453
2018-01-25 20:30:00,131.1699981689453
2018-01-26 14:30:00,131.77999877929688
2018-01-26 15:30:00,132.13999938964844
2018-01-26 16:30:00,131.8300018310547
2018-01-26 17:30:00,131.77999877929688
2018-01-26 18:30:00,131.6699981689453
2018-01-26 19:30:00,131.7100067138672
2018-01-26 20:30:00,131.75
2018-01-29 14:30:00,131.27999877929688
2018-01-29 15:30:00,131.11000061035156
2018-01-29 16:30:00,130.36000061035156
2018-01-29 17:30:00,130.94000244140625
2018-01-29 18:30:00,130.92999267578125
2018-01-29 19:30:00,130.55999755859375
2018-01-29 20:30:00,130.38999938964844
2018-01-30 14:30:00,128.77000427246094
2018-01-30 15:30:00,129.22999572753906
2018-01-30 16:30:00,129.42999267578125
2018-01-30 17:30:00,128.80999755859375
2018-01-30 18:30:00,128.49000549316406
2018-01-30 19:30:00,129.00999450683594
2018-01-30 20:30:00,128.89999389648438
2018-01-31 14:30:00,128.71629333496094
2018-01-31 15:30:00,128.3699951171875
2018-01-31 16:30:00,128.44000244140625
2018-01-31 17:30:00,128.25
2018-01-31 18:30:00,127.44000244140625
2018-01-31 19:30:00,127.44000244140625
2018-01-31 20:30:00,128.0399932861328
2018-02-01 14:30:00,129.94000244140625
2018-02-01 15:30:00,129.91000366210938
2018-02-01 16:30:00,130.2100067138672
2018-02-01 17:30:00,130.1999969482422
2018-02-01 18:30:00,129.82000732421875
2018-02-01 19:30:00,129.02000427246094
2018-02-01 20:30:00,129.11000061035156
2018-02-02 14:30:00,126.98500061035156
2018-02-02 15:30:00,126.62000274658203
2018-02-02 16:30:00,126.81999969482422
2018-02-02 17:30:00,126.30999755859375
2018-02-02 18:30:00,126.37000274658203
2018-02-02 19:30:00,126.76000213623047
2018-02-02 20:30:00,126.62999725341797
2018-02-05 14:30:00,127.75
2018-02-05 15:30:00,127.12000274658203
2018-02-05 16:30:00,127.6500015258789
2018-02-05 17:30:00,126.80000305175781
2018-02-05 18:30:00,126.95999908447266
2018-02-05 19:30:00,126.76000213623047
2018-02-05 20:30:00,125.05000305175781
2018-02-06 14:30:00,126.5199966430664
2018-02-06 15:30:00,127.5999984741211
2018-02-06 16:30:00,127.13999938964844
2018-02-06 17:30:00,126.55999755859375
2018-02-06 18:30:00,125.01000213623047
2018-02-06 19:30:00,128.02999877929688
2018-02-06 20:30:00,127.29000091552734
2018-02-07 14:30:00,130.24000549316406
2018-02-07 15:30:00,129.85000610351562
2018-02-07 16:30:00,129.3350067138672
2018-02-07 17:30:00,128.57000732421875
2018-02-07 18:30:00,129.9499969482422
2018-02-07 19:30:00,130.44000244140625
2018-02-07 20:30:00,129.35000610351562
2018-02-08 14:30:00,129.6649932861328
2018-02-08 15:30:00,127.72000122070312
2018-02-08 16:30:00,126.8499984741211
2018-02-08 17:30:00,126.19999694824219
2018-02-08 18:30:00,127.19999694824219
2018-02-08 19:30:00,125.83989715576172
2018-02-08 20:30:00,122.77999877929688
2018-02-09 14:30:00,104.13999938964844
2018-02-09 15:30:00,102.02999877929688
2018-02-09 16:30:00,100.62000274658203
2018-02-09 17:30:00,99.05000305175781
2018-02-09 18:30:00,101.0
2018-02-09 19:30:00,101.83499908447266
2018-02-09 20:30:00,103.30999755859375
2018-02-12 14:30:00,101.44999694824219
2018-02-12 15:30:00,101.04000091552734
2018-02-12 16:30:00,102.73999786376953
2018-02-12 17:30:00,102.7699966430664
2018-02-12 18:30:00,103.11000061035156
2018-02-12 19:30:00,101.96499633789062
2018-02-12 20:30:00,102.81999969482422
2018-02-13 14:30:00,100.25
2018-02-13 15:30:00,101.69999694824219
2018-02-13 16:30:00,101.66999816894531
2018-02-13 17:30:00,101.58499908447266
2018-02-13 18:30:00,102.14920043945312
2018-02-13 19:30:00,101.62999725341797
2018-02-13 20:30:00,101.75
2018-02-14 14:30:00,99.45999908447266
2018-02-14 15:30:00,99.9000015258789
2018-02-14 16:30:00,100.0199966430664
2018-02-14 17:30:00,100.19999694824219
2018-02-14 18:30:00,100.13999938964844
2018-02-14 19:30:00,99.98999786376953
2018-02-14 20:30:00,100.08999633789062
2018-02-15 14:30:00,102.02999877929688
2018-02-15 15:30:00,102.75
2018-02-15 16:30:00,101.88999938964844
2018-02-15 17:30:00,101.93499755859375
2018-02-15 18:30:00,101.91999816894531
2018-02-15 19:30:00,102.0
2018-02-15 20:30:00,102.20999908447266
2018-02-16 14:30:00,101.83999633789062
2018-02-16 15:30:00,102.91000366210938
2018-02-16 16:30:00,103.18499755859375
2018-02-16 17:30:00,102.88999938964844
2018-02-16 18:30:00,102.94499969482422
2018-02-16 19:30:00,104.16000366210938
2018-02-16 20:30:00,103.86000061035156
2018-02-20 14:30:00,104.41999816894531
2018-02-20 15:30:00,104.20999908447266
2018-02-20 16:30:00,105.5
2018-02-20 17:30:00,105.69000244140625
2018-02-20 18:30:00,105.26000213623047
2018-02-20 19:30:00,104.0999984741211
2018-02-20 20:30:00,104.11000061035156
2018-02-21 14:30:00,104.30500030517578
2018-02-21 15:30:00,104.20059967041016
2018-02-21 16:30:00,104.19000244140625
2018-02-21 17:30:00,103.75
2018-02-21 18:30:00,104.44000244140625
2018-02-21 19:30:00,103.87000274658203
2018-02-21 20:30:00,103.05000305175781
2018-02-22 14:30:00,103.9800033569336
2018-02-22 15:30:00,104.13999938964844
2018-02-22 16:30:00,104.37999725341797
2018-02-22 17:30:00,104.08999633789062
2018-02-22 18:30:00,104.625
2018-02-22 19:30:00,104.52999877929688
2018-02-22 20:30:00,104.52999877929688
2018-02-23 14:30:00,105.5199966430664
2018-02-23 15:30:00,104.75
2018-02-23 16:30:00,104.55999755859375
2018-02-23 17:30:00,105.16999816894531
2018-02-23 18:30:00,105.68000030517578
2018-02-23 19:30:00,106.72250366210938
2018-02-23 20:30:00,106.3499984741211
2018-02-26 14:30:00,106.05999755859375
2018-02-26 15:30:00,105.62999725341797
2018-02-26 16:30:00,105.9749984741211
2018-02-26 17:30:00,106.30000305175781
2018-02-26 18:30:00,106.47720336914062
2018-02-26 19:30:00,106.68990325927734
2018-02-26 20:30:00,106.62000274658203
2018-02-27 14:30:00,104.94999694824219
2018-02-27 15:30:00,104.62999725341797
2018-02-27 16:30:00,105.00499725341797
2018-02-27 17:30:00,105.0999984741211
2018-02-27 18:30:00,104.86000061035156
2018-02-27 19:30:00,104.0
2018-02-27 20:30:00,103.69999694824219
2018-02-28 14:30:00,105.08000183105469
2018-02-28 15:30:00,105.77999877929688
2018-02-28 16:30:00,105.4791030883789
2018-02-28 17:30:00,106.22000122070312
2018-02-28 18:30:00,106.36519622802734
2018-02-28 19:30:00,106.06999969482422
2018-02-28 20:30:00,105.16999816894531
2018-03-01 14:30:00,104.79000091552734
2018-03-01 15:30:00,104.37999725341797
2018-03-01 16:30:00,104.15499877929688
2018-03-01 17:30:00,103.7300033569336
2018-03-01 18:30:00,103.36000061035156
2018-03-01 19:30:00,103.7699966430664
2018-03-01 20:30:00,103.98999786376953
2018-03-02 14:30:00,101.7699966430664
2018-03-02 15:30:00,103.13999938964844
2018-03-02 16:30:00,104.02999877929688
2018-03-02 17:30:00,103.52999877929688
2018-03-02 18:30:00,103.9000015258789
2018-03-02 19:30:00,103.69999694824219
2018-03-02 20:30:00,104.51000213623047
2018-03-05 14:30:00,104.73999786376953
2018-03-05 15:30:00,105.7249984741211
2018-03-05 16:30:00,106.69999694824219
2018-03-05 17:30:00,108.19000244140625
2018-03-05 18:30:00,108.30000305175781
2018-03-05 19:30:00,108.11000061035156
2018-03-05 20:30:00,107.66000366210938
2018-03-06 14:30:00,107.8499984741211
2018-03-06 15:30:00,107.54499816894531
2018-03-06 16:30:00,108.40599822998047
2018-03-06 17:30:00,108.2300033569336
2018-03-06 18:30:00,108.26010131835938
2018-03-06 19:30:00,108.52999877929688
2018-03-06 20:30:00,108.62000274658203
2018-03-07 14:30:00,109.76000213623047
2018-03-07 15:30:00,110.3499984741211
2018-03-07 16:30:00,110.33999633789062
2018-03-07 17:30:00,111.58000183105469
2018-03-07 18:30:00,111.69000244140625
2018-03-07 19:30:00,112.30000305175781
2018-03-07 20:30:00,111.33000183105469
2018-03-08 14:30:00,110.87999725341797
2018-03-08 15:30:00,111.23999786376953
2018-03-08 16:30:00,111.66000366210938
2018-03-08 17:30:00,110.63999938964844
2018-03-08 18:30:00,110.18000030517578
2018-03-08 19:30:00,110.18000030517578
